Line #,Category,Reference Designator(s),Qty per Board,Description,Manufacturer,Manufacturer Part Number,Package / Footprint,LCSC,Unit Price (USD),Cost / Board (USD),Datasheet / Product Link,Notes
1,Capacitor,C1,1,1uF +/-10% 25V X5R Ceramic Capacitor,Samsung,CL05A105KA5NQNC,0402,C52923,0.0099,0.0099,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A105KA5NQNC_1uF-105-10-25V_C52923.html,
2,Capacitor,"C2,C5,C7,C10,C11,C12,C21,C23,C24,C25,C26,C27",12,10uF +/-10% 25V X5R Ceramic Capacitor,Samsung,CL21A106KAYNNNE,0805,C15850,0.0844,1.0128,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A106KAYNNNE_10uF-106-10-25V_C15850.html,
3,Capacitor,"C3,C4",2,22uF +/-20% 25V X5R Ceramic Capacitor,Samsung,CL21A226MAQNNNE,0805,C45783,0.2221,0.4442,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A226MAQNNNE_22uF-226-20-25V_C45783.html,
4,Capacitor,C6,1,4.7uF +/-10% 16V X5R Ceramic Capacitor,Samsung,CL10A475KO8NNNC,0603,C19666,0.0295,0.0295,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A475KO8NNNC_4-7uF-475-10-16V_C19666.html,
5,Capacitor,C8,1,47nF +/-10% 50V Ceramic Capacitor,-,0402B473K500NT,0402,C82219,0.0059,0.0059,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_47nF-473-10-50V_C82219.html,
6,Capacitor,"C9,C15,C16,C17,C18,C19,C20,C22",8,100nF +/-10% 16V X5R Ceramic Capacitor,Samsung,CL05B104KO5NNNC,0402,C1525,0.0045,0.0360,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html,
7,Capacitor,"C13,C14",2,27pF +/-5% 50V C0G/NP0 Ceramic Capacitor,-,CC0402JRNPO9BN270,0402,C107002,0.0021,0.0042,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_27pF-270-5-50V_C107002.html,Crystal load capacitors (near X2)
8,Connector,Card1,1,"MicroSD Card Socket, push-push",-,TF-01A,TF-SMD,C91145,0.1921,0.1921,https://lcsc.com/product-detail/Card-Sockets_TF-01A_C91145.html,Onboard data logging
9,Connector,CN1,1,"XT30 Battery Connector, male, PCB mount",Amass,XT30UPB-M,TH,C428721,0.2623,0.2623,https://lcsc.com/product-detail/Power-Connectors_Changzhou-Amass-Elec-XT30UPB-M_C428721.html,LiPo battery input
10,Protection,D1,1,USB ESD Protection Diode Array,STMicroelectronics,USBLC6-2SC6,SOT-23-6,C7519,0.1763,0.1763,https://lcsc.com/product-detail/Diodes-ESD_STMicroelectronics_USBLC6-2SC6_USBLC6-2SC6_C7519.html,USB-C line protection
