"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","CL05A105KA5NQNC","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A105KA5NQNC_1uF-105-10-25V_C52923.html"
"C2,C5,C7,C10,C11,C12,C21,C23,C24,C25,C26,C27","12","CL21A106KAYNNNE","","","","easyeda2kicad:C0805","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A106KAYNNNE_10uF-106-10-25V_C15850.html"
"C3,C4","2","CL21A226MAQNNNE","","","","easyeda2kicad:C0805","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A226MAQNNNE_22uF-226-20-25V_C45783.html"
"C6","1","CL10A475KO8NNNC","","","","easyeda2kicad:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A475KO8NNNC_4-7uF-475-10-16V_C19666.html"
"C8","1","0402B473K500NT","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_47nF-473-10-50V_C82219.html"
"C9,C15,C16,C17,C18,C19,C20,C22","8","CL05B104KO5NNNC","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html"
"C13,C14","2","CC0402JRNPO9BN270","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_27pF-270-5-50V_C107002.html"
"C28,C29","2","470 uF","","","","Capacitor_SMD:CP_Elec_8x10.5",""
"Card1","1","TF-01A","","","","easyeda2kicad:TF-SMD_TF-01A","https://lcsc.com/product-detail/Card-Sockets_TF-01A_C91145.html"
"CN1","1","XT30UPB-M","","","","easyeda2kicad:CONN-TH_XT30UPB-M","https://lcsc.com/product-detail/Power-Connectors_Changzhou-Amass-Elec-XT30UPB-M_C428721.html"
"CN2,CN4,CN6,CN7","4","2060-453-HDGC","","","","easyeda2kicad:CONN-SMD_2060-453-HDGC","https://www.lcsc.com/datasheet/C55251567.pdf"
"CN3","1","2060-452-HDGC","","","","easyeda2kicad:CONN-SMD_2060-452-HDGC","https://www.lcsc.com/datasheet/C55251566.pdf"
"D1","1","USBLC6-2SC6","","","","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","https://lcsc.com/product-detail/Diodes-ESD_STMicroelectronics_USBLC6-2SC6_USBLC6-2SC6_C7519.html"
"J1","1","Connector, USB-TYPE-C-16P","","","","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","https://atta.szlcsc.com/upload/public/pdf/source/20220920/0EF8F885FCCEA71F60E9E85152155021.pdf"
"L1","1","SWPA4030S1R0NT","","","","easyeda2kicad:IND-SMD_L4.0-W4.0_SWPA4018S","https://lcsc.com/product-detail/Power-Inductors_1uH-30_C42193.html"
